name,url,strPrice,strRate,price,sendfee,rateCount,ratePeople,quantity,unit
玄米 30kg 送料無料 農薬8割減 減農薬 1等米 つや姫 特別栽培認証 産年：令和2年 産地：山形県置賜産 生産者：小林 亮氏,https://item.rakuten.co.jp/kenkoufarm/koba_tuya_hime-30super/,"17,280円 送料無料 ",None,"17,280",0,,,30,kg
白米 10kg 送料無料 農薬8割減 減農薬 1等米 つや姫 特別栽培認証 産年：令和2年 産地：山形県置賜産 生産者：小林 亮氏,https://item.rakuten.co.jp/kenkoufarm/koba_tuya_hime-haku10super/,"6,642円 送料無料 ",None,"6,642",0,,,10,kg
白米 30kg 送料無料 農薬8割減 減農薬 1等米 つや姫 特別栽培認証 産年：令和2年 産地：山形県置賜産 生産者：小林 亮氏,https://item.rakuten.co.jp/kenkoufarm/koba_tuya_hime-haku30super/,"18,997円 送料無料 ",None,"18,997",0,,,30,kg
玄米 10kg 送料無料 農薬8割減 減農薬 1等米 つや姫 特別栽培認証 産年：令和2年 産地：山形県置賜産 生産者：小林 亮氏,https://item.rakuten.co.jp/kenkoufarm/koba_tuya_hime-10super/,"6,037円 送料無料 ",None,"6,037",0,,,10,kg
つや姫 雪若丸 詰め合わせ ギフト 米 特別栽培米 お米 産地直送 山形 白米 食べ比べ しまさき農園,https://item.rakuten.co.jp/nipponselect/s71490002/,"4,914円 送料無料 ",None,"4,914",0,,,,
お米 2kg 4袋 食べ比べ 詰め合わせ 白米 くりはら四姉米A ササニシキ ひとめぼれ ミルキークイーン つや姫 有限会社川口グリーンセンター 宮城県,https://item.rakuten.co.jp/nipponselect/s69550002/,"4,789円 送料無料 ",None,"4,789",0,,,2,kg
【スーパーSALE期間限定 20%OFF】特別栽培 宮城県産 つや姫 玄米 30kg【送料無料 精米無料 真空パック無料】精米【選べる搗き方　白米・ハイガ米・玄米・8分つきなど】長期保存・鮮度維持・カビ、害虫などの繁殖 防止に♪,https://item.rakuten.co.jp/komenoyamaya/006-30_ss03/,"12,264円 送料無料 ",None,"12,264",0,,,30,kg
【スーパーセール期間中 10％OFF】究極のパックごはん 極一膳 つや姫名人 山形県産つや姫 150g×20個 おこめ お米 備蓄用 買い置き,https://item.rakuten.co.jp/komeya-edogura/kiwami1_tuya20/,"5,832円 送料無料 ",None,"5,832",0,,,150,g
期間限定10%off [小鯛2尾 つや姫2合 炊き込みご飯セット] 炊き込みご飯の素 鯛めし 2合用 小鯛2尾入り お米2合セット 山形県産 つや姫 鯛めし膳 鯛ごはん 鯛茶漬け おかず 惣菜 中食 贈り物 プレゼント 一人暮らし メール便 送料無料,https://item.rakuten.co.jp/agripartner/taimeshi-2bi-tsuyahime-set/,"1,242円 送料無料 ",None,"1,242",0,,,,
【エントリーでポイント最大44倍♪3/11（木）01：59迄】【送料無料】 令和2年産 山形県産つや姫 玄米 30kg(精白米にして27kg) 【お米 30kg 送料無料】 【米 30kg 送料無料】美味しいお米,https://item.rakuten.co.jp/kasamatsu-kome/tk-300/,"15,300円 送料無料 ",4.38(8件),"15,300",0,4.38,8,30,kg
